"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
"mean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716994390681004,1.75638989964158,30.1538241236559,87.5189526397849,157.329069449462,240.279084712545,397.984206810036,589.491841487455,774.452829928315,935.517520071685,1078.95311308244,1222.16588512545,1348.3307483871,1465.00860107527,1608.59112419355,1768.06379193548,1851.23593530466,1936.28961845878,2017.40100448029,2082.39888781362,2202.70638691756,2227.48831612903,2262.70253888889,2226.58467275986,2260.25099623656,2294.42242759857,2297.45506379928,2296.49896827957,2274.33150896057,2273.50836648746,2239.56278853047,2167.31725071685,2070.91292258065,1992.72602168459,1940.11473924731,1891.58183297491,1809.80839767025,1686.85554265233,1540.47001379928,1445.89327329749,1329.36601057348,1217.15813691756,1033.41883225806,883.583432616487,732.163161917563,566.027376702509,383.974869964158,260.075257849462,170.406198324373,86.9768640053763,14.3391170716846,3.26036262724014,0.262570605734767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stderror",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301841439722851,4.77171908278249,41.1954667230687,101.586231411123,159.1036038286,221.183932203628,268.1978031226,314.903965665389,365.575742259369,435.485644076735,494.351486385903,545.151966253382,593.445223194853,639.352201127092,675.459578140996,706.089060838083,739.898572488374,794.186238691072,857.826313801539,858.97252755491,840.726054531225,835.936265554767,840.430597638838,881.245821698738,888.322252299938,893.738109936579,904.977402018073,890.213724088489,875.153514178022,884.602131925548,869.041859719286,828.547638499578,846.101782522385,849.427279623307,808.944890221886,761.884565024479,730.233824262124,713.236190715957,673.246742480306,617.764147572443,588.335070889555,529.118623534293,479.446690702823,411.395784140893,377.620853338791,342.859111663233,301.012211249166,222.879167925889,170.639874604181,102.508542513154,29.9221279065132,10.0532672876217,1.15524268748841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
